id;title
BScGM1_1;Mikroökonomik\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie
BScGM1_2;Gründungsmanagement\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie/ Orthobionik
BScGM1_3;Methodisches Arbeiten\\ I B.Sc. General Management / Business Administration
BScGM1_4;Grundlagen der Wirtschaftsinformatik\\ I B.Sc. General Management / Business Administration
BScGM1_5;Buchführung und Abschluss\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie
BScGM1_6;Kosten- und Leistungsrechnung\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie / Orthobionik
BScGM1_7;Methodisches Arbeiten II\\ B.Sc. General Management / Business Administration
BScGM1_8_1;Englisch I\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM1_8_2;Englisch I\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM1_9_1;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM1_9_2;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM1_9_3;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM1_9_4;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM1_10;Zeitmanagment\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM1ABWL_1_1;Mathematik\\ B.Sc. General Management / Business Administration / Orthobionik
BScGM1ABWL_2_2;Einführung in die BWL\\ B.Sc. General Management / Business Administration / Wirtschaftspsychologie / Orthobionik
BScGM2_1;Wirtschaftsrecht\\ B.Sc. General Management / Business Administration
BScGM2_2;Steuerrecht\\ B.Sc. General Management / Business Administration
BScGM2_3;Handelsrechtliche Bewertung\\ B.Sc. General Management / Business Administration
BScGM2_4;Makroökonomik\\ B.Sc. General Management / Business Administration
BScGM2_5;Grundlagen Wirtschaftsinformatik II\\ B.Sc. General Management / Business Administration
BScGM2_6;Statistik\\ B.Sc. General Management / Business Administration
BScGM2_7;Produktion\\ B.Sc. General Management / Business Administration / B. Sc. Witschaftspsychologie / B. Sc. Orthobionik
BScGM2_8;Marketing\\ B.Sc. General Management / Business Administration / B. Sc. Witschaftspsychologie/ B. Sc. Orthobionik
BScGM2_9;Vertrieb\\ B.Sc. General Management / Business Administration / B. Sc. Witschaftspsychologie / B. Sc. Orthobionik
BScGM2_10;Englisch II\\ B.Sc. General Management / Business Administration /  B. Sc. Orthobionik
BScGM2_11;2. Fremdsprache\\ B.Sc. General Management / Business Administration
BScGM2_12;Soft Skills Präsentationstechniken / Visualisierung / Rhetorik\\ B.Sc. General Management / Business Administration /  B. Sc. Orthobionik
BScGM3_1;Finanzierung / Investition\\ B.Sc. General Management / Orthobionik
BScGM3_2;Organisation / Personal\\ B.Sc. General Management / Orthobionik
BScGM3_3;Logistische Prozesse\\ B.Sc. General Management / Orthobionik
BScGM3_8_3;Englisch III\\ nur Orthobionik
BScGM3_10;Soft Skills III\\ B.Sc. General Management / Orthobionik
BScGM4_1;Controlling\\ B.Sc. General Management / Business Administration/ Orthobionik
BScGM4_2;Kostenrechnungssysteme\\ B.Sc. General Management / Business Administration/ Orthobionik
BScGM4_3;Bilanzen\\ B.Sc. General Management/ Business Administration
BScGM4_4;Planspiel\\ B.Sc. General Management/ Business Administration/ Orthobionik
BScGM4_5;Internationales Management\\ B.Sc. General Management / Business Administration
BScGM4_6;Wirtschaftspolitik\\ B.Sc. General Management /Business Administration
BScGM4_7;Englisch IV\\ B.Sc. General Management/ Business Administration/ Orthobionik
BScGM4_8;Fremdsprache IV\\ B.Sc. General Management/ Business Administration
BScGM4_9;Soft Skills IV Teamtraining\\ B.Sc. General Management / Business Administration
BScGM4_10;Business Process Management\\ B.Sc. General Management / Business Administration
BScGM5_1;Corporate Law\\ B.Sc. General Management / Business Administration
BScGM5_2;Executive Management\\ B.Sc. General Management / Business Administration
BScGM5_3;Strategisches Food and Agribusiness Management\\  Business Administration
BScGM5_4;Marketing für Lebensmittel und Agrarprodukte\\ Business Administration
BScGM5_5_1;Vertiefungsfach BWL I Entrepreneurship\\ B.Sc. General Management / Business Administration
BScGM5_5_2;Vertiefungsfach BWL I Industrielles Management\\ Business Adminstration / B.Sc. General Management
BScGM5_5_3;Vertiefungsfach BWL I Tourism and Travel Management\\ B. Sc. General Management / Business Administraion
BScGM5_5_4;Vertiefungsfach BWL I International Accounting/Controlling\\ B.Sc. General Management / Business Administration
BScGM5_5_5;Vertiefungsfach BWL I Internationales Marketing\\ B.Sc. General Management / Business Administration
BScGM5_5_6;Vertiefungsfach BWL I Vertriebsmanagment\\ B.Sc. General Management / Business Administration
BScGM5_6_1;Vertiefungsfach BWL II Entrepreneurship\\ B.Sc. General Management / Business Administration
BScGM5_6_2;Vertiefungsfach BWL II Industrielles Management\\ B.Sc. General Management / Business Administration
BScGM5_6_3;Vertiefungsfach BWL II Tourism and Travel Management\\ B.Sc. General Management / Business Administration 
BScGM5_6_4;Vertiefunsgfach BWL II International Accounting/Controlling\\ B.Sc. General Management / Business Administartion
BScGM5_6_5;Vertiefungsfach BWL II Internationales Marketing\\ B.Sc. Gerneral Management / Business Administration
BScGM5_6_6;Vertiefungsfach BWL II Vertriebsmanagement\\ B.Sc. General Management / Business Administration
BScGM5_7_1;Englisch V\\ B.Sc. General Management / Business Administration
BScGM5_7_2;Englisch V\\ B.Sc. Orthobionik 
BScGM5_8_1;Fremdsprache V\\ B.Sc. General Management / Business Administration 
BScGM5_8_2;Fremdsprache V\\ B.Sc. General Management / Business Administration 
BScGM5_8_3;Fremdsprache V\\ B.Sc. General Management / Business Administration 
BScGM5_9;Soft Skills V, Gesprächs- und Verhandlungsführung\\ B.Sc. General Management / Business Administration
BScPsy2_1;Wirtschaftspolitik\\ B.Sc. Wirtschaftspsychologie
BScPsy2_2;Statistik II - Testverfahren\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_3;Statistik II - Computergestützte Datenanalyse\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_4;Denken und Entscheiden Modul\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_5;Angewandte Entscheidungspsychologie\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_6;Biologische Psychologie Anwendungsgebiete\\ B.Sc. Psychologie
BScPsy2_7;Differentielle Psychologie - Methoden und Intelligenz\\ B.Sc. Psychologie
BScPsy2_8;Differentielle Psychologie - Vertiefung\\ B.Sc. Psychologie
BScPsy2_9;Individuum und Soziale Welt\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_10;Sozialpsychologie Vertiefung\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_11;Ökonomische Psychologie und Entscheidungen\\ B.Sc. Wirtschaftspsychologie
BScPsy2_12;Alltagsverständnis von Ökonomie und Arbeitsmärkte\\ B.Sc. Wirtschaftspsychologie
BScPsy2_13;Wirtschaftspsychologie -Vertiefung\\ B.Sc. Wirtschaftspsychologie
BScPsy2_14;Ablauf einer empirischen Untersuchung, Techniken wissenschaftlichen Arbeitens\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_15;Moderation, Präsentation und Schreiben\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_16;Entwicklungspsychologie - kognitive, emotionale und soziale Entwicklung\\ B.Sc. Psychologie
BScPsy2_17;Entwicklungspsychologie - ausgewählte Bereiche der Entwicklung\\ B.Sc. Psychologie
